% Edge logfile: log_20240308_171742.426/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709914666.4849 2 0 0.0000 0.0000 0.0000 0
1709914666.4929 2 0 0.0000 0.0000 0.0000 0
1709914666.5017 2 0 0.0000 0.0000 0.0000 0
1709914666.5082 2 0 0.0000 0.0000 0.0000 0
1709914666.5160 2 0 0.0000 0.0000 0.0000 0
1709914666.5240 2 0 0.0000 0.0000 0.0000 0
1709914666.5324 2 0 0.0000 0.0000 0.0000 0
1709914666.5403 2 0 0.0000 0.0000 0.0000 0
1709914666.5481 2 0 0.0000 0.0000 0.0000 0
1709914666.5569 2 0 0.0000 0.0000 0.0000 0
1709914666.5648 2 0 0.0000 0.0000 0.0000 0
1709914666.5725 2 0 0.0000 0.0000 0.0000 0
1709914666.5802 2 0 0.0000 0.0000 0.0000 0
1709914666.5889 2 0 0.0000 0.0000 0.0000 0
1709914666.5966 2 0 0.0000 0.0000 0.0000 0
1709914666.6042 2 0 0.0000 0.0000 0.0000 0
1709914666.6122 2 0 0.0000 0.0000 0.0000 0
1709914666.6201 2 0 0.0000 0.0000 0.0000 0
1709914666.6287 2 0 0.0000 0.0000 0.0000 0
1709914666.6369 2 0 0.0000 0.0000 0.0000 0
1709914666.6448 2 0 0.0000 0.0000 0.0000 0
1709914666.6523 2 0 0.0000 0.0000 0.0000 0
